"","x"
"1",0.6841
"2",0.6618
"3",0.686
"4",0.6953
"5",0.6911
"6",0.667
"7",0.6912
"8",0.6995
"9",0.6995
"10",0.6995
"11",0.6995
"12",0.665
"13",0.653
"14",0.6727
"15",0.7103
"16",0.666
"17",0.6881
"18",0.701
"19",0.7198
"20",0.7081
"21",0.7008
"22",0.725
"23",0.6632
"24",0.6625
"25",0.6775
"26",0.6707
"27",0.6545
"28",0.6591
"29",0.6777
"30",0.6802
"31",0.6869
"32",0.7148
"33",0.6941
"34",0.6445
"35",0.6682
"36",0.6589
"37",0.6791
"38",0.6427
"39",0.6766
"40",0.6701
"41",0.6735
"42",0.6706
"43",0.6845
"44",0.6771
"45",0.66
"46",0.6605
"47",0.6481
"48",0.6758
"49",0.6547
"50",0.6258
"51",0.6665
"52",0.6497
"53",0.6434
"54",0.6819
"55",0.6605
"56",0.6523
"57",0.6486
"58",0.6484
"59",0.6764
"60",0.6687
"61",0.6362
"62",0.6409
"63",0.6632
"64",0.6527
"65",0.659
"66",0.6655
"67",0.6654
"68",0.6246
"69",0.6529
"70",0.6525
"71",0.6256
"72",0.6305
"73",0.6238
"74",0.6565
"75",0.684
"76",0.6755
"77",0.6537
"78",0.6556
"79",0.6354
"80",0.6566
"81",0.655
"82",0.6316
"83",0.6402
"84",0.6386
"85",0.6375
"86",0.6438
"87",0.6551
"88",0.6288
