"","x"
"1",0.07144958245684
"2",0.0682020886662637
"3",0.065102198480316
"4",0.0621432030873702
"5",0.059318698601642
"6",0.0566225722038388
"7",0.0540489889117391
"8",0.0515923789520683
"9",0.0492474257063428
"10",0.0470090542045944
"11",0.044872420142072
"12",0.0428328993951519
"13",0.0408860780137651
"14",0.0390277426686856
"15",0.037253871533003
"16",0.0355606255780468
"17",0.0339443402649244
"18",0.0324015176136915
"19",0.0309288186329903
"20",0.0295230560937737
"21",0.0281811876314733
"22",0.0269003091616858
"23",0.0256776485951258
"24",0.0245105598382441
"25",0.023396517066527
"26",0.0223331092580831
"27",0.0213180349756869
"28",0.0203490973859865
"29",0.0194241995050963
"30",0.0185413396602845
"31",0.0176986071579342
"32",0.016894178148402
"33",0.0161263116788259
"34",0.0153933459253378
"35",0.0146936945965295
"36",0.0140258435003852
"37",0.0133883472672531
"38",0.0127798262217628
"39",0.0121989633969186
"40",0.0116445016839073
"41",0.0111152411114514
"42",0.0106100362488198
"43",0.0101277937268758
"44",0.00966746987179749
"45",0.00922806844634885
"46",0.00880863849381367
"47",0.00840827227992613
"48",0.00802610332834368
"49",0.00766130454541077
"50",0.00731308643015496
"51",0.00698069536564144
"52",0.00666341198798813
"53",0.00636054962951159
"54",0.00607145283263431
"55",0.00579549593133728
"56",0.0055320816970876
"57",0.00528064004631092
"58",0.00504062680661113
"59",0.00481152253906737
"60",0.00459283141405936
"61",0.00438408013818828
"62",0.00418481692997072
"63",0.00399461054208892
"64",0.00381304932808126
"65",0.00363974035145309
"66",0.00347430853527986
"67",0.00331639585046211
"68",0.00316566054087546
"69",0.00302177638373884
"70",0.00288443198360005
"71",0.00275333009841074
"72",0.00262818699623241
"73",0.00250873184118103
"74",0.0023947061072815
"75",0.00228586301896325
"76",0.00218196701698626
"77",0.00208279324864149
"78",0.00198812708112255
"79",0.00189776363701534
"80",0.00181150735090043
"81",0.00172917154610848
"82",0.00165057803071291
"83",0.0015755567118852
"84",0.00150394522777836
"85",0.00143558859614196
"86",0.001370338878908
"87",0.00130805486202201
"88",0.00124860174982621
"89",0.00119185087333351
"90",0.00113767941176085
"91",0.00108597012671931
"92",0.00103661110848568
"93",0.000989495533806384
"94",0.00094452143470958
"95",0.00090159147782511
"96",0.000860612753734705
"97",0.000821496575896542
"98",0.000784158288708997
"99",0.000748517084298186
"100",0.000714495827632803
