"","Sample","Status","Title","Platform","EGAS ID","ERP ID","ERS ID"
"66","GSM2180221","Private","RHC3864","GPL11154","EGAS00001001945","ERP016958","ERS1311851"
"67","GSM2180222","Private","RHC3865","GPL11154","EGAS00001001945","ERP016958","ERS1311852"
"68","GSM2180223","Private","RHC3866","GPL11154","EGAS00001001945","ERP016958","ERS1311853"
"69","GSM2180224","Private","RHC3868","GPL11154","EGAS00001001945","ERP016958","ERS1311855"
"70","GSM2180225","Private","RHC3869","GPL11154","EGAS00001001945","ERP016958","ERS1311856"
"71","GSM2180226","Private","RHC3870","GPL11154","EGAS00001001945","ERP016958","ERS1311857"
"72","GSM2180227","Private","RHC3871","GPL11154","EGAS00001001945","ERP016958","ERS1311858"
"73","GSM2180228","Private","RHC3872","GPL11154","EGAS00001001945","ERP016958","ERS1311859"
"74","GSM2180229","Private","RHC3874","GPL11154","EGAS00001001945","ERP016958","ERS1311861"
"75","GSM2180230","Private","RHC3875","GPL11154","EGAS00001001945","ERP016958","ERS1311862"
"76","GSM2180231","Private","RHC3876","GPL11154","EGAS00001001945","ERP016958","ERS1311863"
"77","GSM2180232","Private","RHC3878","GPL11154","EGAS00001001945","ERP016958","ERS1311865"
"78","GSM2180233","Private","RHC3879","GPL11154","EGAS00001001945","ERP016958","ERS1311866"
"79","GSM2180234","Private","RHC3881","GPL11154","EGAS00001001945","ERP016958","ERS1311868"
"80","GSM2180235","Private","RHC3882","GPL11154","EGAS00001001945","ERP016958","ERS1311869"
"81","GSM2180236","Private","RHC3883","GPL11154","EGAS00001001945","ERP016958","ERS1311870"
"82","GSM2180237","Private","RHC3884","GPL11154","EGAS00001001945","ERP016958","ERS1311871"
"83","GSM2180238","Private","RHC3885","GPL11154","EGAS00001001945","ERP016958","ERS1311872"
"84","GSM2180239","Private","RHC3886","GPL11154","EGAS00001001945","ERP016958","ERS1311873"
"85","GSM2180240","Private","RHC3890","GPL11154","EGAS00001001945","ERP016958","ERS1311877"
"86","GSM2180241","Private","RHC3891","GPL11154","EGAS00001001945","ERP016958","ERS1311878"
"87","GSM2180242","Private","RHC3894","GPL11154","EGAS00001001945","ERP016958","ERS1311881"
"88","GSM2180243","Private","RHC3895","GPL11154","EGAS00001001945","ERP016958","ERS1311882"
"89","GSM2180244","Private","RHC3897","GPL11154","EGAS00001001945","ERP016958","ERS1311884"
"90","GSM2180245","Private","RHC3898","GPL11154","EGAS00001001945","ERP016958","ERS1311885"
"91","GSM2180246","Private","RHC3900","GPL11154","EGAS00001001945","ERP016958","ERS1311887"
"92","GSM2180247","Private","RHC3902","GPL11154","EGAS00001001945","ERP016958","ERS1311888"
"93","GSM2180248","Private","RHC3911","GPL11154","EGAS00001001945","ERP016958","ERS1311889"
"94","GSM2180249","Private","RHC3915","GPL11154","EGAS00001001945","ERP016958","ERS1311890"
"95","GSM2180250","Private","RHC3919","GPL11154","EGAS00001001945","ERP016958","ERS1311891"
"96","GSM2180251","Private","RHC3922","GPL11154","EGAS00001001945","ERP016958","ERS1311893"
"97","GSM2180252","Private","RHC3923","GPL11154","EGAS00001001945","ERP016958","ERS1311894"
"98","GSM2180253","Private","RHC3925","GPL11154","EGAS00001001945","ERP016958","ERS1311895"
"99","GSM2180254","Private","RHC3901","GPL11154","EGAS00001001945","ERP016958","ERS1311897"
"100","GSM2180255","Private","RHC3903","GPL11154","EGAS00001001945","ERP016958","ERS1311898"
"101","GSM2180256","Private","RHC3904","GPL11154","EGAS00001001945","ERP016958","ERS1311899"
"102","GSM2180257","Private","RHC3905","GPL11154","EGAS00001001945","ERP016958","ERS1311900"
"103","GSM2180258","Private","RHC3906","GPL11154","EGAS00001001945","ERP016958","ERS1311901"
"104","GSM2180259","Private","RHC3907","GPL11154","EGAS00001001945","ERP016958","ERS1311902"
"105","GSM2180260","Private","RHC3909","GPL11154","EGAS00001001945","ERP016958","ERS1311904"
"106","GSM2180261","Private","RHC3910","GPL11154","EGAS00001001945","ERP016958","ERS1311905"
"107","GSM2180262","Private","RHC3912","GPL11154","EGAS00001001945","ERP016958","ERS1311906"
"108","GSM2180263","Private","RHC3914","GPL11154","EGAS00001001945","ERP016958","ERS1311908"
"109","GSM2180264","Private","RHC3920","GPL11154","EGAS00001001945","ERP016958","ERS1311912"
"110","GSM2180265","Private","RHC3924","GPL11154","EGAS00001001945","ERP016958","ERS1311913"
"111","GSM2180266","Private","RHC3926","GPL11154","EGAS00001001945","ERP016958","ERS1311914"
"112","GSM2180267","Private","RHC3927","GPL11154","EGAS00001001945","ERP016958","ERS1311915"
"113","GSM2180268","Private","RHC3934","GPL11154","EGAS00001001945","ERP016958","ERS1311921"
"114","GSM2180269","Private","RHC3944","GPL11154","EGAS00001001945","ERP016958","ERS1311931"
"115","GSM2180270","Private","RHC3947","GPL11154","EGAS00001001945","ERP016958","ERS1311934"
"116","GSM2180271","Private","RHC3962","GPL11154","EGAS00001001945","ERP016958","ERS1311949"
"117","GSM2180272","Private","RHC4003","GPL11154","EGAS00001001945","ERP016958","ERS1311990"
"118","GSM2180273","Private","RHC4005","GPL11154","EGAS00001001945","ERP016958","ERS1311992"
"119","GSM2180274","Private","RHC4007","GPL11154","EGAS00001001945","ERP016958","ERS1311994"
"120","GSM2180275","Private","RHC4008","GPL11154","EGAS00001001945","ERP016958","ERS1311995"
"121","GSM2180276","Private","RHC4014","GPL11154","EGAS00001001945","ERP016958","ERS1312001"
"122","GSM2180277","Private","RHC4021","GPL11154","EGAS00001001945","ERP016958","ERS1312008"
"123","GSM2180278","Private","RHC4220","GPL11154","EGAS00001001945","ERP016958","ERS1312015"
"124","GSM2180279","Private","RHC4227","GPL11154","EGAS00001001945","ERP016958","ERS1312022"
"125","GSM2180280","Private","RHC4240","GPL11154","EGAS00001001945","ERP016958","ERS1312035"
"126","GSM2180281","Private","RHC4257","GPL11154","EGAS00001001945","ERP016958","ERS1312052"
"127","GSM2180282","Private","RHC4266","GPL11154","EGAS00001001945","ERP016958","ERS1312061"
"128","GSM2180283","Private","RHC4273","GPL11154","EGAS00001001945","ERP016958","ERS1312068"
"129","GSM2180284","Private","RHC4274","GPL11154","EGAS00001001945","ERP016958","ERS1312069"
"130","GSM2180285","Private","RHC4276","GPL11154","EGAS00001001945","ERP016958","ERS1312071"
"131","GSM2180286","Private","RHC4277","GPL11154","EGAS00001001945","ERP016958","ERS1312072"
"132","GSM2180287","Private","RHC4285","GPL11154","EGAS00001001945","ERP016958","ERS1312080"
"133","GSM2180288","Private","RHC4286","GPL11154","EGAS00001001945","ERP016958","ERS1312081"
"134","GSM2180289","Private","RHC4289","GPL11154","EGAS00001001945","ERP016958","ERS1312084"
"135","GSM2180290","Private","RHC4297","GPL11154","EGAS00001001945","ERP016958","ERS1312092"
"136","GSM2180291","Private","RHC4298","GPL11154","EGAS00001001945","ERP016958","ERS1312093"
"137","GSM2180292","Private","RHC4300","GPL11154","EGAS00001001945","ERP016958","ERS1312095"
"138","GSM2180293","Private","RHC4304","GPL11154","EGAS00001001945","ERP016958","ERS1312099"
"139","GSM2180294","Private","RHC4122","GPL11154","EGAS00001001945","ERP016958","ERS1312109"
"140","GSM2180295","Private","RHC4123","GPL11154","EGAS00001001945","ERP016958","ERS1312110"
"141","GSM2180296","Private","RHC4124","GPL11154","EGAS00001001945","ERP016958","ERS1312111"
"142","GSM2180297","Private","RHC4128","GPL11154","EGAS00001001945","ERP016958","ERS1312115"
"143","GSM2180298","Private","RHC4130","GPL11154","EGAS00001001945","ERP016958","ERS1312117"
"144","GSM2180299","Private","RHC4131","GPL11154","EGAS00001001945","ERP016958","ERS1312118"
"145","GSM2180300","Private","RHC4134","GPL11154","EGAS00001001945","ERP016958","ERS1312121"
"146","GSM2180301","Private","RHC4141","GPL11154","EGAS00001001945","ERP016958","ERS1312128"
"147","GSM2180302","Private","RHC4142","GPL11154","EGAS00001001945","ERP016958","ERS1312129"
"148","GSM2180303","Private","RHC4144","GPL11154","EGAS00001001945","ERP016958","ERS1312131"
"149","GSM2180304","Private","RHC4148","GPL11154","EGAS00001001945","ERP016958","ERS1312135"
"150","GSM2180305","Private","RHC4155","GPL11154","EGAS00001001945","ERP016958","ERS1312142"
"151","GSM2180306","Private","RHC4159","GPL11154","EGAS00001001945","ERP016958","ERS1312146"
"152","GSM2180307","Private","RHC4160","GPL11154","EGAS00001001945","ERP016958","ERS1312147"
"153","GSM2180308","Private","RHC4161","GPL11154","EGAS00001001945","ERP016958","ERS1312148"
"154","GSM2180309","Private","RHC4165","GPL11154","EGAS00001001945","ERP016958","ERS1312152"
"155","GSM2180310","Private","RHC4169","GPL11154","EGAS00001001945","ERP016958","ERS1312156"
"156","GSM2180311","Private","RHC4174","GPL11154","EGAS00001001945","ERP016958","ERS1312161"
"157","GSM2180312","Private","RHC4183","GPL11154","EGAS00001001945","ERP016958","ERS1312170"
"158","GSM2180313","Private","RHC4196","GPL11154","EGAS00001001945","ERP016958","ERS1312174"
"159","GSM2180314","Private","RHC4026","GPL11154","EGAS00001001945","ERP016958","ERS1312183"
"160","GSM2180315","Private","RHC4028","GPL11154","EGAS00001001945","ERP016958","ERS1312185"
"161","GSM2180316","Private","RHC4030","GPL11154","EGAS00001001945","ERP016958","ERS1312187"
"162","GSM2180317","Private","RHC4031","GPL11154","EGAS00001001945","ERP016958","ERS1312188"
"163","GSM2180318","Private","RHC4034","GPL11154","EGAS00001001945","ERP016958","ERS1312191"
"164","GSM2180319","Private","RHC4045","GPL11154","EGAS00001001945","ERP016958","ERS1312202"
"165","GSM2180320","Private","RHC4046","GPL11154","EGAS00001001945","ERP016958","ERS1312203"
"166","GSM2180321","Private","RHC4048","GPL11154","EGAS00001001945","ERP016958","ERS1312205"
"167","GSM2180322","Private","RHC4050","GPL11154","EGAS00001001945","ERP016958","ERS1312207"
"168","GSM2180323","Private","RHC4051","GPL11154","EGAS00001001945","ERP016958","ERS1312208"
"169","GSM2180324","Private","RHC4052","GPL11154","EGAS00001001945","ERP016958","ERS1312209"
"170","GSM2180325","Private","RHC4053","GPL11154","EGAS00001001945","ERP016958","ERS1312210"
"171","GSM2180326","Private","RHC4055","GPL11154","EGAS00001001945","ERP016958","ERS1312212"
"172","GSM2180327","Private","RHC4057","GPL11154","EGAS00001001945","ERP016958","ERS1312214"
"173","GSM2180328","Private","RHC4058","GPL11154","EGAS00001001945","ERP016958","ERS1312215"
"174","GSM2180329","Private","RHC4059","GPL11154","EGAS00001001945","ERP016958","ERS1312216"
"175","GSM2180330","Private","RHC4061","GPL11154","EGAS00001001945","ERP016958","ERS1312218"
"176","GSM2180331","Private","RHC4062","GPL11154","EGAS00001001945","ERP016958","ERS1312219"
"177","GSM2180332","Private","RHC4065","GPL11154","EGAS00001001945","ERP016958","ERS1312222"
"178","GSM2180333","Private","RHC4066","GPL11154","EGAS00001001945","ERP016958","ERS1312223"
"179","GSM2180334","Private","RHC4067","GPL11154","EGAS00001001945","ERP016958","ERS1312224"
"180","GSM2180335","Private","RHC4068","GPL11154","EGAS00001001945","ERP016958","ERS1312225"
"181","GSM2180336","Private","RHC4070","GPL11154","EGAS00001001945","ERP016958","ERS1312227"
"182","GSM2180337","Private","RHC4072","GPL11154","EGAS00001001945","ERP016958","ERS1312229"
"183","GSM2180338","Private","RHC4073","GPL11154","EGAS00001001945","ERP016958","ERS1312230"
"184","GSM2180339","Private","RHC4075","GPL11154","EGAS00001001945","ERP016958","ERS1312232"
