Markers
DCBLD2
PTPN14
LAMP5
TM4SF1
NPR3
LEMD1
LCA5
CSGALNACT2
SLC2A3
GADD45B
PTEN
AKT
PI3K
K-Ras
ERCC1
DPD
TS
APC
DCC
p53
