"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj"
"PIGH","PIGH",NA,NA,NA,NA,0.00285706824124554,0.0459345281508381
"CASK","CASK",NA,NA,NA,NA,0.00107244502299519,0.024323053121531
"RPS3","RPS3",NA,NA,NA,NA,9.31362127019053e-05,0.00468712123686216
"NDE1","NDE1",NA,NA,NA,NA,0.000442939142232479,0.0141623962582227
"DPYSL2","DPYSL2",NA,NA,NA,NA,0.000685867709725674,0.0184598255418255
"MTHFD2","MTHFD2",NA,NA,NA,NA,1.66429933680101e-05,0.00139503288062734
"HNRNPH1","HNRNPH1",NA,NA,NA,NA,4.05231403988182e-14,8.61623272729872e-11
"GSN","GSN",NA,NA,NA,NA,1.81520712239092e-07,3.63792005474635e-05
"PMEPA1","PMEPA1",NA,NA,NA,NA,0.0011212923370314,0.0250039109915571
"SENP6","SENP6",NA,NA,NA,NA,2.81300171357524e-05,0.00202750674355571
"MCM9","MCM9",NA,NA,NA,NA,0.00213148890693682,0.0373010558713943
"MRPL3","MRPL3",NA,NA,NA,NA,0.00168271535919851,0.032251121228086
"DNAJC2","DNAJC2",NA,NA,NA,NA,0.0021528880860564,0.0375981789977612
"TOR1AIP2","TOR1AIP2",NA,NA,NA,NA,0.000167452282577862,0.00722934854479553
"TPT1","TPT1",NA,NA,NA,NA,0.000481942160834969,0.0151251589590458
"IFNGR1","IFNGR1",NA,NA,NA,NA,1.17235415084682e-05,0.00108379044053828
"SH3PXD2A","SH3PXD2A",NA,NA,NA,NA,0.00139033810766032,0.0285623806899782
"SHFM1","SHFM1",NA,NA,NA,NA,0.00165079533520185,0.032042999684098
"RIF1","RIF1",NA,NA,NA,NA,5.30027750289541e-06,0.000570618483064879
"YBX3","YBX3",NA,NA,NA,NA,0.00045511941755294,0.0144872392342415
"EEF2","EEF2",NA,NA,NA,NA,0.00212606909210278,0.0372829229450188
"HSP90AA1","HSP90AA1",NA,NA,NA,NA,0,0
"MTND1P23","MTND1P23",NA,NA,NA,NA,4.21135936076178e-05,0.00257576903754228
"CLSTN1","CLSTN1",NA,NA,NA,NA,0.00116133722226053,0.0254372520455768
"TSPYL1","TSPYL1",NA,NA,NA,NA,0.000210331831359878,0.0084685098471138
"HNRNPA1P54","HNRNPA1P54",NA,NA,NA,NA,0.000852338977572087,0.0208909020295406
"ATP5I","ATP5I",NA,NA,NA,NA,0.000911286960571744,0.0217920670674579
"MTDH","MTDH",NA,NA,NA,NA,0.00181946760921925,0.0339354649482669
"POLR3E","POLR3E",NA,NA,NA,NA,0.000328414595595294,0.0116381922314082
"RAB11FIP2","RAB11FIP2",NA,NA,NA,NA,1.22884247066857e-05,0.00112379625946625
"MRS2","MRS2",NA,NA,NA,NA,0.00226134635016273,0.038932693741162
"HHLA2","HHLA2",NA,NA,NA,NA,2.01024012658202e-07,3.79935383924002e-05
"ARFGEF2","ARFGEF2",NA,NA,NA,NA,0.000647386476786416,0.0178766947567158
"RPL18A","RPL18A",NA,NA,NA,NA,3.43748898457008e-07,5.96649873750378e-05
"RPS21","RPS21",NA,NA,NA,NA,0.000495396810558213,0.0153212722683549
"PSMB4","PSMB4",NA,NA,NA,NA,0.00286789314538383,0.0460215683046971
"PERP","PERP",NA,NA,NA,NA,5.16809255723949e-07,8.45281292294651e-05
"XPOT","XPOT",NA,NA,NA,NA,0.00265894515060305,0.0438110906201365
"ERGIC3","ERGIC3",NA,NA,NA,NA,0.00304296473081966,0.0477498432391536
"PTPN18","PTPN18",NA,NA,NA,NA,0.0033087628906856,0.049471438837985
"CRIM1","CRIM1",NA,NA,NA,NA,0.000538424029731699,0.0160115257792591
"WDR43","WDR43",NA,NA,NA,NA,0.000115661996216487,0.00555765693684308
"AP000350.10","AP000350.10",NA,NA,NA,NA,0.00072202855342951,0.0191855074730883
"SH3BGRL3","SH3BGRL3",NA,NA,NA,NA,0.000800634339273576,0.02014613921752
"CYP4F3","CYP4F3",NA,NA,NA,NA,0.00160582852227997,0.031614749032387
"PRRC2C","PRRC2C",NA,NA,NA,NA,0.00233107553427292,0.0397310569518861
"NSA2","NSA2",NA,NA,NA,NA,0.000872696665136008,0.021206528962805
"ACSL6","ACSL6",NA,NA,NA,NA,0.00170859267186729,0.0325541023849151
"HLA-B","HLA-B",NA,NA,NA,NA,2.0732135667112e-06,0.000263174349028041
"ITGB1","ITGB1",NA,NA,NA,NA,1.06084364531744e-05,0.00102528127311646
"NT5DC1","NT5DC1",NA,NA,NA,NA,0.00211509048772818,0.0372439846752136
"PPP1CB","PPP1CB",NA,NA,NA,NA,7.10286049279141e-05,0.00377561428069943
