"","x"
"PRDM16",0.00129954515919428
"TNPO1",0.00129954515919428
"PAX2",0.000974658869395711
"CSRNP3",0.000974658869395711
"NFIX",0.000974658869395711
"KLHL3",0.000974658869395711
"RP11-1055B8.7",0.000974658869395711
"ENAH",0.000974658869395711
"SKI",0.000974658869395711
"AGO2",0.000974658869395711
"DESI1",0.000974658869395711
"OTUD7B",0.000974658869395711
"RP1-170O19.20",0.000974658869395711
"MYLK",0.000974658869395711
"SLC25A16",0.000974658869395711
"TSC22D2",0.000974658869395711
"ZBTB20",0.000974658869395711
"QKI",0.000974658869395711
"PITPNA",0.000974658869395711
"EIF1",0.000974658869395711
"TCF4",0.000974658869395711
"STX7",0.000974658869395711
"NFIA",0.000974658869395711
"ATXN1",0.000974658869395711
"MIER3",0.000974658869395711
"PPARGC1B",0.000974658869395711
"NUFIP2",0.000974658869395711
"NFIC",0.000649772579597141
"ELAVL3",0.000649772579597141
"DIRAS1",0.000649772579597141
"NSMF",0.000649772579597141
"PIP5K1C",0.000649772579597141
"PDE4A",0.000649772579597141
"MIDN",0.000649772579597141
"FAM196A",0.000649772579597141
"CPLX1",0.000649772579597141
"JUND",0.000649772579597141
"SCN2B",0.000649772579597141
"SETD8",0.000649772579597141
"CREB3L2",0.000649772579597141
"CALN1",0.000649772579597141
"MEX3B",0.000649772579597141
"PTPRF",0.000649772579597141
"SHOX",0.000649772579597141
"FAM84A",0.000649772579597141
"TMEM107",0.000649772579597141
"FZD4",0.000649772579597141
"FOXP4",0.000649772579597141
"LSM12",0.000649772579597141
"DPYSL5",0.000649772579597141
"RP11-770J1.4",0.000649772579597141
"HOXB2",0.000649772579597141
"AC068987.1",0.000649772579597141
"SNX30",0.000649772579597141
"PLEKHM1",0.000649772579597141
"INSM1",0.000649772579597141
"WWP2",0.000649772579597141
"SHANK3",0.000649772579597141
"EOMES",0.000649772579597141
"DAB1",0.000649772579597141
"SLC6A1",0.000649772579597141
"PIP4K2C",0.000649772579597141
"ADM",0.000649772579597141
"ZNF512B",0.000649772579597141
"SYT2",0.000649772579597141
"ANO8",0.000649772579597141
"PRKAR1B",0.000649772579597141
"CAMK2A",0.000649772579597141
"NRG1",0.000649772579597141
"TUB",0.000649772579597141
"TPBGL",0.000649772579597141
"MSI1",0.000649772579597141
"POU3F1",0.000649772579597141
"ATP2B4",0.000649772579597141
"ING5",0.000649772579597141
"ARHGAP35",0.000649772579597141
"UNC13A",0.000649772579597141
"LUZP1",0.000649772579597141
"TPCN1",0.000649772579597141
"PDE8A",0.000649772579597141
"ECE1",0.000649772579597141
"TFAP2A",0.000649772579597141
"PAX5",0.000649772579597141
"ACAN",0.000649772579597141
"ASXL3",0.000649772579597141
"MYOCD",0.000649772579597141
"CNNM4",0.000649772579597141
"REXO1",0.000649772579597141
"MITF",0.000649772579597141
"PTPRS",0.000649772579597141
"RASSF2",0.000649772579597141
"LIN28A",0.000649772579597141
"GNAL",0.000649772579597141
"ERC1",0.000649772579597141
"RNF157",0.000649772579597141
"ATP2A2",0.000649772579597141
"GPRC5A",0.000649772579597141
"ALX4",0.000649772579597141
"SLX4",0.000649772579597141
"AAK1",0.000649772579597141
"SBK1",0.000649772579597141
"EN2",0.000649772579597141
"SCN8A",0.000649772579597141
"KCNK3",0.000649772579597141
"FRMPD3",0.000649772579597141
"DLGAP2",0.000649772579597141
"PCGF3",0.000649772579597141
"RNF150",0.000649772579597141
"MAP4K2",0.000649772579597141
"SETD7",0.000649772579597141
"DNAJB12",0.000649772579597141
"PRKCA",0.000649772579597141
"ANK1",0.000649772579597141
"MED29",0.000649772579597141
"AQP2",0.000649772579597141
"NEURL1B",0.000649772579597141
"TBX20",0.000649772579597141
"CCNJL",0.000649772579597141
"GATAD2B",0.000649772579597141
"COL5A1",0.000649772579597141
"GATAD2A",0.000649772579597141
"PIAS4",0.000649772579597141
"RBMS3",0.000649772579597141
"TULP4",0.000649772579597141
"GPR56",0.000649772579597141
"ISL2",0.000649772579597141
"PER2",0.000649772579597141
"PDK3",0.000649772579597141
"PTEN",0.000649772579597141
"JARID2",0.000649772579597141
"CDK16",0.000649772579597141
"SSX2IP",0.000649772579597141
"CACNA1C",0.000649772579597141
"CECR2",0.000649772579597141
"SUV420H1",0.000649772579597141
"DNAJC5",0.000649772579597141
"SOX6",0.000649772579597141
"SOX5",0.000649772579597141
"MYO5A",0.000649772579597141
"PLEKHA6",0.000649772579597141
"HCN4",0.000649772579597141
"MGLL",0.000649772579597141
"ADAM23",0.000649772579597141
"CBFA2T2",0.000649772579597141
"ZRANB1",0.000649772579597141
